i,FLOPs,FLOPs_human,N_low,N_low_human,N_mid_M20,N_mid_M20_human,N_high,N_high_human,D_mid_M20,D_mid_M20_human,valid_paper_candidates
0,2e+17,2.00e+17,36514837.167011075,36.5M,40824829.0463863,40.8M,57735026.918962575,57.7M,816496580.927726,816M,none
1,4e+17,4.00e+17,51639777.949432224,51.6M,57735026.918962575,57.7M,81649658.0927726,81.6M,1154700538.3792515,1.15B,75M
2,8e+17,8.00e+17,73029674.33402215,73M,81649658.0927726,81.6M,115470053.83792515,115M,1632993161.855452,1.63B,75M
3,1.6e+18,1.60e+18,103279555.89886445,103M,115470053.83792515,115M,163299316.1855452,163M,2309401076.758503,2.31B,none
4,3.2e+18,3.20e+18,146059348.6680443,146M,163299316.1855452,163M,230940107.6758503,231M,3265986323.710904,3.27B,none
5,6.4e+18,6.40e+18,206559111.7977289,207M,230940107.6758503,231M,326598632.3710904,327M,4618802153.517006,4.62B,250M
6,1.28e+19,1.28e+19,292118697.3360886,292M,326598632.3710904,327M,461880215.3517006,462M,6531972647.421808,6.53B,none
7,2.56e+19,2.56e+19,413118223.5954578,413M,461880215.3517006,462M,653197264.7421808,653M,9237604307.034012,9.24B,500M
